"peak_name","year","season","sex","age","citizenship","expedition_role","hired","success","solo","oxygen_used","died","injured"
"Annapurna",2006,"Autumn","M",35,"Italy","Climber","false","true","false","false","false","false"
"Everest",1993,"Spring","M",28,"Autres","Movie/TV_team","false","false","false","false","false","false"
"Everest",1992,"Spring","M",45,"France","Climber","false","false","false","false","false","false"
"Manaslu",1990,"Autumn","M",30,"Autres","Climber","false","false","false","false","false","false"
"Everest",2015,"Spring","M",43,"Nepal","Autres","true","false","false","false","false","false"
"Cho",2011,"Autumn","M",32,"Autres","Leader","false","false","false","false","false","false"
"Everest",1965,"Spring","M",25,"Nepal","Autres","true","false","false","false","false","false"
"Autres",2003,"Spring","M",24,"Japan","Climber","false","true","false","false","false","false"
"Everest",2018,"Spring","M",35,"Nepal","Autres","true","true","false","true","false","false"
"Cho",2006,"Spring","M",33,"Spain","Climber","false","false","false","false","false","false"
"Kangchen",1989,"Autumn","M",29,"Nepal","Autres","true","false","false","false","false","false"
"Lhotse",2008,"Spring","M",33,"Nepal","Autres","true","true","false","true","false","false"
"Cho",1996,"Autumn","M",27,"Autres","Climber","false","true","false","false","false","false"
"Everest",2008,"Spring","M",21,"China","Climber","false","true","false","true","false","false"
"Everest",2006,"Spring","M",27,"Nepal","Autres","true","true","false","true","false","false"
"Pumori",2003,"Spring","M",33,"Switzerland","Climber","false","false","false","false","false","false"
"Autres",2017,"Autumn","M",49,"Czech Republic","Climber","false","true","false","false","false","false"
"Manaslu",2015,"Autumn","M",29,"Autres","Climber","false","true","false","false","false","false"
"Autres",1982,"Autumn","M",26,"UK","Climber","false","false","false","false","false","false"
"Cho",2007,"Spring","M",38,"France","Climber","false","false","false","false","false","false"
"Autres",2009,"Autumn","M",43,"UK","Climber","false","false","false","false","false","false"
"Autres",2012,"Spring","M",62,"Australia","Climber","false","true","false","false","false","false"
"Everest",2017,"Spring","M",34,"USA","Climber","false","true","false","true","false","false"
"Manaslu",2006,"Spring","F",66,"Japan","Leader","false","false","false","false","false","false"
"Manaslu",2018,"Spring","M",26,"Switzerland","Climber","false","false","false","false","false","false"
"Ama Dablam",2016,"Autumn","M",27,"Nepal","Autres","true","true","false","false","false","false"
"Annapurna",1986,"Spring","M",34,"Autres","Climber","false","false","false","false","false","false"
"Ama Dablam",2018,"Autumn","M",29,"Nepal","Autres","true","false","false","false","false","false"
"Autres",2003,"Spring","M",49,"Spain","Climber","false","true","false","false","false","false"
"Kangchen",1996,"Autumn","M",45,"France","Climber","false","true","false","false","false","false"
"Baruntse",2005,"Autumn","M",60,"France","Climber","false","true","false","false","false","false"
"Baruntse",2006,"Autumn","M",27,"Italy","Leader","false","false","false","false","false","false"
"Cho",2002,"Autumn","F",56,"Japan","Climber","false","false","false","false","false","false"
"Everest",2005,"Spring","M",36,"India","Climber","false","false","false","false","false","false"
"Autres",1982,"Autumn","M",26,"UK","Climber","false","false","false","false","false","false"
"Everest",1991,"Spring","M",33,"USA","Leader","false","false","false","false","false","false"
"Everest",1982,"Spring","M",36,"Autres","Autres","false","false","false","false","false","false"
"Kangchen",1985,"Winter","M",33,"Poland","Climber","false","false","false","false","false","false"
"Cho",1951,"Autumn","M",38,"UK","Climber","false","false","false","false","false","false"
"Autres",2015,"Autumn","M",65,"UK","Climber","false","false","false","false","false","false"
"Ama Dablam",2009,"Autumn","M",43,"UK","Climber","false","false","false","false","false","false"
"Manaslu",2018,"Autumn","M",39,"Nepal","Autres","true","true","false","true","false","false"
"Everest",2009,"Spring","M",27,"China","Autres","true","true","false","true","false","false"
"Baruntse",2016,"Autumn","M",36,"Germany","Climber","false","true","false","false","false","false"
"Autres",2017,"Autumn","M",43,"Czech Republic","Climber","false","false","false","false","false","false"
"Pumori",2002,"Spring","M",33,"UK","Climber","false","false","false","false","false","false"
"Ama Dablam",2004,"Autumn","M",32,"Nepal","Autres","true","true","false","false","false","false"
"Cho",2007,"Autumn","M",38,"Italy","Climber","false","true","false","false","false","false"
"Everest",1997,"Spring","M",34,"Nepal","Autres","true","true","false","true","false","false"
"Everest",2017,"Spring","M",18,"India","Climber","false","true","false","true","false","false"
"Everest",2016,"Spring","M",43,"USA","Climber","false","true","false","true","false","false"
"Pumori",1990,"Autumn","M",31,"Germany","Climber","false","false","false","false","false","false"
"Everest",1998,"Spring","M",28,"Belgium","Leader","false","false","false","false","false","false"
"Annapurna",1991,"Autumn","M",33,"Czechoslovakia","Climber","false","false","false","false","false","false"
"Ama Dablam",2007,"Autumn","M",27,"Nepal","Autres","true","false","false","false","true","false"
"Everest",2018,"Spring","M",37,"Nepal","Autres","true","true","false","true","false","false"
"Manaslu",2011,"Autumn","M",44,"Autres","Leader","false","true","false","true","false","false"
"Kangchen",1997,"Spring","M",48,"Japan","Climber","false","false","false","false","false","false"
"Cho",1992,"Autumn","M",32,"Spain","Leader","false","false","false","false","false","false"
"Everest",2007,"Spring","M",32,"China","Climber","false","true","false","true","false","false"
"Everest",2019,"Spring","M",45,"Nepal","Autres","true","true","false","true","false","false"
"Everest",1996,"Spring","M",26,"Autres","Climber","false","false","false","false","false","false"
"Everest",1997,"Spring","M",29,"Autres","Climber","false","false","false","false","false","false"
"Kangchen",1997,"Spring","M",34,"Autres","Climber","false","false","false","false","false","false"
"Autres",1987,"Autumn","M",33,"Yugoslavia","Climber","false","true","false","false","false","false"
"Pumori",1992,"Spring","F",31,"Germany","Climber","false","false","false","false","false","false"
"Dhaulagiri",2012,"Autumn","M",25,"Australia","Climber","false","false","false","true","false","false"
"Autres",2017,"Autumn","M",43,"Nepal","Autres","true","true","false","false","false","false"
"Baruntse",2007,"Autumn","M",52,"France","Leader","false","true","false","false","false","false"
"Everest",2017,"Spring","M",17,"India","Climber","false","true","false","true","false","false"
"Everest",2013,"Spring","M",49,"Russia","Leader","false","true","false","true","false","false"
"Everest",2017,"Spring","M",49,"Autres","Climber","false","true","false","true","false","false"
"Autres",1991,"Winter","M",22,"S Korea","Climber","false","false","false","false","false","false"
"Ama Dablam",2013,"Autumn","M",43,"Nepal","Autres","true","false","false","false","false","false"
"Everest",2000,"Spring","M",33,"Japan","Climber","false","true","false","true","false","false"
"Ama Dablam",2016,"Autumn","M",29,"Nepal","Autres","true","true","false","false","false","false"
"Sharphu",1984,"Spring","F",33,"S Korea","Climber","false","false","false","false","false","false"
"Autres",2009,"Summer","M",60,"Japan","Climber","false","false","false","false","false","false"
"Baruntse",2003,"Spring","M",30,"UK","Climber","false","false","false","false","false","false"
"Dhaulagiri",1973,"Autumn","M",29,"UK","Climber","false","false","false","false","false","false"
"Everest",2017,"Spring","M",35,"China","Autres","true","true","false","true","false","false"
"Everest",2010,"Spring","M",31,"China","Autres","true","false","false","true","false","false"
"Lhotse",1987,"Autumn","M",34,"Poland","Climber","false","false","false","false","false","false"
"Everest",2010,"Spring","M",32,"Nepal","Autres","true","true","false","true","false","false"
"Autres",2003,"Autumn","M",28,"Nepal","Autres","true","true","false","false","false","false"
"Everest",2017,"Spring","M",26,"India","Leader","false","true","false","true","true","false"
"Everest",2016,"Spring","M",34,"Nepal","Climber","false","true","false","true","false","false"
"Everest",1998,"Spring","M",36,"Japan","Leader","false","false","false","false","false","false"
"Autres",2007,"Autumn","M",41,"Spain","Leader","false","false","false","false","false","false"
"Everest",2006,"Spring","M",23,"Nepal","Autres","true","true","false","true","false","false"
"Autres",2018,"Autumn","F",75,"Italy","Climber","false","false","false","false","false","false"
"Baruntse",2001,"Autumn","M",46,"Spain","Climber","false","false","false","false","false","true"
"Autres",1970,"Spring","M",26,"Japan","Climber","false","false","false","false","true","true"
"Everest",2004,"Spring","M",48,"Russia","Climber","false","false","false","true","false","false"
"Ama Dablam",2010,"Autumn","M",38,"USA","Leader","false","true","false","false","false","false"
"Autres",1986,"Autumn","M",34,"Spain","Climber","false","false","false","false","false","false"
"Autres",1983,"Autumn","M",42,"Austria","Climber","false","false","false","false","false","false"
"Autres",2009,"Autumn","M",22,"Japan","Climber","false","false","false","false","false","false"
"Everest",2018,"Spring","M",35,"Japan","Leader","false","false","false","false","true","false"
"Cho",2018,"Autumn","M",51,"Autres","Climber","false","true","false","true","false","false"
